brand_folder,brand,rank,days_running,started_running,display_format,cta_type,headline,primary_text,card_text,landing_url,foreplay_url,foreplay_id,images,page
02_OpusClip,OpusClip,4,187,2026-03-14,IMAGE,DOWNLOAD,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular video clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,http://itunes.apple.com/app/id6743615403,https://app.foreplay.co/discovery?ad=Iq794AnYmw19J9HCmA18,Iq794AnYmw19J9HCmA18,https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png,
02_OpusClip,OpusClip,5,129,2026-05-11,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular podcast clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=mUwcMRjojLkk4jul52t0,mUwcMRjojLkk4jul52t0,https://r2.foreplay.co/8ff12a8d03c9467c9c475dcf168fe65281bcc842947c598f7ccaf847fe3f404a.png,
02_OpusClip,OpusClip,6,127,2026-05-13,CAROUSEL,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,Try AI Podcast Clipping,Get 60 Minutes of Free Credits Monthly! / Try AI Podcast Clipping,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=lVOf3YdYI8lL7Terfora,lVOf3YdYI8lL7Terfora,https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png; https://r2.foreplay.co/911148b5fed924c489796aaf7a4eb039ed1db945a2b93f512d0ea02bff40b5ce.png; https://r2.foreplay.co/8ff12a8d03c9467c9c475dcf168fe65281bcc842947c598f7ccaf847fe3f404a.png,
02_OpusClip,OpusClip,7,51,2026-07-28,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular podcast clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=COqOVBDcB3WAMpcpjROA,COqOVBDcB3WAMpcpjROA,https://r2.foreplay.co/911148b5fed924c489796aaf7a4eb039ed1db945a2b93f512d0ea02bff40b5ce.png,
02_OpusClip,OpusClip,8,47,2026-08-01,CAROUSEL,LEARN_MORE,Video Editor, ,Video Editor; AI Video Clipper; Viral Clip Maker,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=TdYApm3tvehVO9tLpgvW,TdYApm3tvehVO9tLpgvW,https://r2.foreplay.co/45631b80c3b65348f53137575a3b555aa3cd8d12aab672b5f0b3963a2156c9a0.png; https://r2.foreplay.co/b6f1ea492e72c4a716eabc061419a7d2ec6094df551415658e94f7e88717576b.png; https://r2.foreplay.co/ac3c8f356b080e0e691792e14912f479ac674b636f6388447613443e81ff558e.png,
02_OpusClip,OpusClip,9,27,2026-08-21,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,OpusClip uses AI to turn your video assets into ready-to-post-clips 🎬📈 . Upload a video now and get your first clips free!,,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=qimkLMgIInduM2U3zGd2,qimkLMgIInduM2U3zGd2,https://r2.foreplay.co/39c1b686764ab23d1513044527272bddde41c9c06d388cc8c2edf24597af9a52.png,
02_OpusClip,OpusClip,10,27,2026-08-21,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,OpusClip uses AI to turn your video assets into ready-to-post-clips 🎬📈 . Upload a video now and get your first clips free!,,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=INHGZahef2UmwdpDxej4,INHGZahef2UmwdpDxej4,https://r2.foreplay.co/39c1b686764ab23d1513044527272bddde41c9c06d388cc8c2edf24597af9a52.png,
02_OpusClip,OpusClip,11,22,2026-08-26,CAROUSEL,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,Edit Faster with AI,Get 60 Minutes of Free Credits Monthly! / Edit Faster with AI; Video Editor; AI Video Editor; Viral Clip Creator,https://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=9RpNfrelJZR6Dgvp2n3K,9RpNfrelJZR6Dgvp2n3K,https://r2.foreplay.co/39c1b686764ab23d1513044527272bddde41c9c06d388cc8c2edf24597af9a52.png; https://r2.foreplay.co/aac7f8e1ddd49fa13d71fafae9bb4396f263694020252cb21dcfcc68523c6777.png; https://r2.foreplay.co/b755f4b3f7e2968fc635d99feeabdf5df141121aa4c7cc01e9b7e33a4aa1a1c0.png; https://r2.foreplay.co/ef1d2c3a427b19a18b962497fcc348c68419dfc4d528e52a85e43c49c596e6ee.png,
02_OpusClip,OpusClip,12,21,2026-08-27,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular video clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,http://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=fgNR0pUubRe5hMtunwth,fgNR0pUubRe5hMtunwth,https://r2.foreplay.co/ae48b44b2b9782403d6a7192b67633e25f69dc74084d84fa68b6de3958da7823.png,
02_OpusClip,OpusClip,13,20,2026-08-28,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular video clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,http://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=vJX0WhnYpQZVEeB7QV2G,vJX0WhnYpQZVEeB7QV2G,https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png,
02_OpusClip,OpusClip,14,19,2026-08-29,CAROUSEL,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,The #1 A.I. Editing Tool For Shorts,Get 60 Minutes of Free Credits Monthly! / The #1 A.I. Editing Tool For Shorts,http://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=fL7QUe9dxrtMxOKNToWn,fL7QUe9dxrtMxOKNToWn,https://r2.foreplay.co/ae48b44b2b9782403d6a7192b67633e25f69dc74084d84fa68b6de3958da7823.png; https://r2.foreplay.co/10933834b41c318c3f090a645ece452e2858b54d8e8ebec906e4d34b6dc360af.png; https://r2.foreplay.co/8ff12a8d03c9467c9c475dcf168fe65281bcc842947c598f7ccaf847fe3f404a.png; https://r2.foreplay.co/a9229a6d9c859ec2ffa49c60a6f916387979482d9c6b0d3219c44928c9f92911.png; https://r2.foreplay.co/139e539058c50f1fe6a8db6311c3e4c4ba05d6b5ab0b55398b950a8dbb8b48d1.png; https://r2.foreplay.co/911148b5fed924c489796aaf7a4eb039ed1db945a2b93f512d0ea02bff40b5ce.png; https://r2.foreplay.co/3c93fc7e2f8f65aa8ee642139b0fdd336e4400feac5b6b97586c347f0a1dc588.png; https://r2.foreplay.co/95f57e04e91757931d2a63fe77aabbf146aeadf9e85e20b1f57bd2b9a8b276c0.png; https://r2.foreplay.co/e0b939057441733c11daa6dbe0ba2c5c02825a782de37efa472d6748f55c2c7c.png,
02_OpusClip,OpusClip,15,19,2026-08-29,IMAGE,LEARN_MORE,Get 60 Minutes of Free Credits Monthly!,"Try the #1 most popular video clipping tool powered by killer AI features:
🚀 Virality Score & AI curation: Our AI picks out clips that are most likely to go viral
🎞 AI B-Roll: Automatically inserts engaging B-Roll footage to spice up your clips
🔆 Speaker Detection: Our AI analyzes moving faces and ensures you + your guest's faces are always center frame
🖼 Dynamic Layouts: Clip automatically switches between full screen, 2-person, 3-person, screenshare, and more as needed
🫢 Filler Word Removal: Removes words like “um”, “uh” and more so your video sounds cleaner 
It doesn’t stop there… Export to vertical, square or landscape, autopost to your social channels, and much more. 

Try it today and get up to 25 free clips every month.",,http://www.opus.pro/try-opus-clip,https://app.foreplay.co/discovery?ad=IprjCfFrOPzafTHY7aCo,IprjCfFrOPzafTHY7aCo,https://r2.foreplay.co/8ff12a8d03c9467c9c475dcf168fe65281bcc842947c598f7ccaf847fe3f404a.png,
03_Skool,Skool,1,422,2025-07-22,IMAGE,LEARN_MORE,🔥 Start your FREE trial NOW,"Building your future online with a community is a brilliant idea, and there’s no better place to do it than Skool 🙌

👉 We’re an all-in-one platform that lets you set up your community in minutes 😍

Start with our 14-day FREE trial. Then dive into the Skoolers community, where over 50,000 creators are collaborating and sharing what’s working for them.
People with monthly recurring revenue as high as $300K share openly what they’re doing 🤯

PLUS: You also get full beginner training in the community classroom 🤓

👉 If you’re serious about this, there’s no better way to begin than by joining a community. See how this unique, fun, and sustainable approach to monetizing your passion and growing online really works.

Sign up here now: https://www.skool.com/signup 

Our creators are earning over $1 billion a year 🥰💸

You can be part of it. Join us now, kickstart something new, and get started for FREE today.",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=vtGINAbJsTA3QSbHHeQx,vtGINAbJsTA3QSbHHeQx,https://r2.foreplay.co/23997262379883750/94f917827c5554121291f79969e764ec.jpg,
03_Skool,Skool,2,363,2025-09-19,IMAGE,LEARN_MORE,Get started for FREE 🔥 Unlock the 14-Day Trial,"👉 Join 171.9k community builders collectively earning over $1 billion per year on the Skool platform TODAY.

❤️‍🔥 Our mission: Bring community to over 1 billion people
🤝 Simple setup: Launch your community and start receiving payments in under 90 seconds
💙 Proven funnel: Top creators grow by adding their link in social media bios, under YouTube videos, through our internal discovery feature, or with ads

Start your 14-day free trial now: skool.com/signup

What you get when you sign up:
✅Community software: Your own Skool with community, classroom, calendar, map, and more
✅ Access to Skoolers: A thriving community of creators and entrepreneurs openly sharing what works and supporting each other
✅ Training: Skool 101, Alex Hormozi’s $100M Money Models training, plus weekly updates

Start your 14-day free trial now: skool.com/signup

After your trial, it’s just $9/month for Hobby or $99/month for Premium.",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=WvuamEWGKJ9Y2RwZtzv8,WvuamEWGKJ9Y2RwZtzv8,https://r2.foreplay.co/a9eb9044667a71efb9a704d8fc8ebad36a535d033a3e56794994629435830cac.png,
03_Skool,Skool,3,355,2025-09-27,IMAGE,LEARN_MORE,🔥 Start your FREE trial NOW,"Got something you love? You should make a skool for that!

🎨 Like painting?
🎮 Love games?
🧘‍♀️ Into wellness, fitness, or breathwork?
💡 Always giving advice or sharing ideas?

Whatever you’re into… skool makes it easy to turn your passion into a business.
You make a group.

People join.

You can share, teach, and earn … all in one place 🌱

👉 No tech stress. No pressure. Just passion.

Sign up here now: https://www.skool.com/signup 

Try it free for 14 days. See what happens",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=cJDc10Hop1a7guee5noI,cJDc10Hop1a7guee5noI,https://r2.foreplay.co/25567459346243350/d52e330e8a9ba7a5bba46ac7f8205539.jpg,
03_Skool,Skool,4,347,2025-10-05,IMAGE,LEARN_MORE,Get started for FREE 🔥 Unlock the 14-Day Trial,"👉 Join 171.9k community builders collectively earning over $1 billion per year on the Skool platform TODAY.

❤️‍🔥 Our mission: Bring community to over 1 billion people
🤝 Simple setup: Launch your community and start receiving payments in under 90 seconds
💙 Proven funnel: Top creators grow by adding their link in social media bios, under YouTube videos, through our internal discovery feature, or with ads

Start your 14-day free trial now: skool.com/signup

What you get when you sign up:
✅Community software: Your own Skool with community, classroom, calendar, map, and more
✅ Access to Skoolers: A thriving community of creators and entrepreneurs openly sharing what works and supporting each other
✅ Training: Skool 101, Alex Hormozi’s $100M Money Models training, plus weekly updates

Start your 14-day free trial now: skool.com/signup

After your trial, it’s just $9/month for Hobby or $99/month for Premium.",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=EwXPjDmRRROb1C5ATBIk,EwXPjDmRRROb1C5ATBIk,https://r2.foreplay.co/518199394721648/c959667d03ac145358253f22b351ac3e.jpg,
03_Skool,Skool,5,342,2025-10-10,IMAGE,LEARN_MORE,🔥 Start your FREE trial NOW,"👉 Join 171.9k community builders collectively earning over $1 billion per year on the Skool platform TODAY.

❤️‍🔥 Our mission: Bring community to over 1 billion people
🤝 Simple setup: Launch your community and start receiving payments in under 90 seconds
💙 Proven funnel: Top creators grow by adding their link in social media bios, under YouTube videos, through our internal discovery feature, or with ads

Start your 14-day free trial now: skool.com/signup

What you get when you sign up:
✅Community software: Your own Skool with community, classroom, calendar, map, and more
✅ Access to Skoolers: A thriving community of creators and entrepreneurs openly sharing what works and supporting each other
✅ Training: Skool 101, Alex Hormozi’s $100M Money Models training, plus weekly updates

Start your 14-day free trial now: skool.com/signup

After your trial, it’s just $9/month for Hobby or $99/month for Premium.",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=SUqBGxfOfygYbDaBZv6q,SUqBGxfOfygYbDaBZv6q,https://r2.foreplay.co/968441388814912/46c733a25ea058d5dc8a904dbbe52cae.jpg,
03_Skool,Skool,6,342,2025-10-10,IMAGE,LEARN_MORE,Get started for FREE 🔥 Unlock the 14-Day Trial,"Got something you love? You should make a skool for that!

🎨 Like painting?
🎮 Love games?
🧘‍♀️ Into wellness, fitness, or breathwork?
💡 Always giving advice or sharing ideas?

Whatever you’re into… skool makes it easy to turn your passion into a business.
You make a group.

People join.

You can share, teach, and earn … all in one place 🌱

👉 No tech stress. No pressure. Just passion.

Sign up here now: https://www.skool.com/signup 

Try it free for 14 days. See what happens",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=4EYpe5xYecQxPMYoUBTU,4EYpe5xYecQxPMYoUBTU,https://r2.foreplay.co/829387589778041/ea8bdd3499cf984f6906d03dc6347222.jpg,
03_Skool,Skool,7,341,2025-10-11,IMAGE,LEARN_MORE,Get started for FREE 🔥 Unlock the 14-Day Trial,"Got something you love? You should make a skool for that!

🎨 Like painting?
🎮 Love games?
🧘‍♀️ Into wellness, fitness, or breathwork?
💡 Always giving advice or sharing ideas?

Whatever you’re into… skool makes it easy to turn your passion into a business.
You make a group.

People join.

You can share, teach, and earn … all in one place 🌱

👉 No tech stress. No pressure. Just passion.

Sign up here now: https://www.skool.com/signup 

Try it free for 14 days. See what happens",,http://skool.com/signup,https://app.foreplay.co/discovery?ad=fyMXjiHHdrUxCMAVfCg8,fyMXjiHHdrUxCMAVfCg8,https://r2.foreplay.co/25060352990228210/2513370bbc81cefe110d5751c8625f16.jpg,
